,presicion,recall,f1
tau:1.00-gamma:0.25-C:2.00-bound:0.05,0.4479653455585133,0.9445459828755024,0.6062007887732207
tau:1.00-gamma:0.25-C:2.00-bound:0.03,0.4170983429839959,0.983652312599681,0.5849601899898416
tau:1.00-gamma:0.25-C:2.00-bound:0.01,0.32155696057512756,0.9912280701754387,0.48496859252645746
tau:1.00-gamma:0.30-C:0.30-bound:0.50,0.6757703081232492,0.5325897087910817,0.5904327154327155
tau:1.00-gamma:0.30-C:0.30-bound:0.30,0.5526816335345894,0.6981477078731083,0.6139142114151882
tau:1.00-gamma:0.30-C:0.30-bound:0.10,0.42397648552854544,0.92786891471102,0.5808673993434554
tau:1.00-gamma:0.30-C:0.30-bound:0.05,0.37419633697712046,0.9760765550239233,0.5403687978687979
tau:1.00-gamma:0.30-C:0.30-bound:0.03,0.3365520282186949,0.983652312599681,0.501182036992826
tau:1.00-gamma:0.30-C:0.30-bound:0.01,0.2858705430501581,1.0,0.44378551128160426
tau:1.00-gamma:0.30-C:0.50-bound:0.50,0.656547619047619,0.5250139512153242,0.5795649352924895
tau:1.00-gamma:0.30-C:0.50-bound:0.30,0.563568744728165,0.7132992230246235,0.626586656013432
tau:1.00-gamma:0.30-C:0.50-bound:0.10,0.46480581316213426,0.9202931571352625,0.6161703911908011
tau:1.00-gamma:0.30-C:0.50-bound:0.05,0.3871085213861158,0.9760765550239233,0.5539435900108692
tau:1.00-gamma:0.30-C:0.50-bound:0.03,0.36385011392818,0.9912280701754387,0.5318645835546773
tau:1.00-gamma:0.30-C:0.50-bound:0.01,0.2974082556687672,1.0,0.45758879062188784
tau:1.00-gamma:0.30-C:0.70-bound:0.50,0.6702380952380952,0.5420517697405568,0.5951757978073767
tau:1.00-gamma:0.30-C:0.70-bound:0.30,0.5909027945026075,0.7136286037887869,0.6434779088818182
tau:1.00-gamma:0.30-C:0.70-bound:0.10,0.4794955367629787,0.9202931571352625,0.6286046263004789
tau:1.00-gamma:0.30-C:0.70-bound:0.05,0.408459744793697,0.9529885319359003,0.5714330443782157
tau:1.00-gamma:0.30-C:0.70-bound:0.03,0.3732379263537942,0.9912280701754387,0.5416996777427707
